Course code,Course title
BME499 , Elective Biomedical Research Project
BME544 , Biomedical Measurement and Signal Processing
BME550 , Sports Engineering
BME551 , Biomechanics of Human Movement 
BME581 , Ultrasound in Medicine and Biology         
BME587 , Special Topics in Biomedical Signals
BME588 , Special Topics in Biomechanics 
BME589 , Special Topics in Biomedical Devices 
CIVE440 , Transit Planning and Operations
CIVE460 , Engineering Biomechanics
ECE356 , Database Systems 
ECE358 , Computer Networks
ECE406 , Algorithm Design and Analysis
ECE457B , Fundamentals of Computational Intelligence
ECE459 , Programming for Performance
ECE484 , Digital Control Applications
PLAN478 , Transit Planning and Operations
ME321 , Dynamics of Machines and Mechanical Vibrations
ME574 , Engineering Biomechanics
MSE343 , Human-Computer Interaction
MSE432 , Production and Service Operations Management
MSE446 , Introduction to Machine Learning
MSE555 , Scheduling: Theory and Practice
MTE241 , Introduction to Computer Structures and Real-Time Systems
MTE325 , Microprocessor Systems and Interfacing for Mechatronics Engineering
MTE544 , Autonomous Mobile Robots
SYDE322 , Software Design
SYDE334 , Applied Statistics
SYDE522 , Foundations of Artificial Intelligence
SYDE531 , Design Optimization Under Probabilistic Uncertainty
SYDE532 , Introduction to Complex Systems
SYDE533 , Conflict Resolution
SYDE542 , Interface Design
SYDE543 , Cognitive Ergonomics
SYDE544 , Biomedical Measurement and Signal Processing 
SYDE548 , User Centred Design Methods
SYDE552 , Computational Neuroscience
SYDE553 , Advanced Dynamics
SYDE556 , Simulating Neurobiological Systems 
SYDE572 , Introduction to Pattern Recognition
SYDE575 , Image Processing
SYDE584 , Physiological Systems and Biomedical Design
SYDE599 , Special Topics in Systems Design Engineering